,HL,SSRM,KGC,NEM,PVG,WPM,AGI,EQX,KL,AEM,AU
HL,1,0.7930856708216205,0.7646474135886592,0.7501684167509303,0.53819668644158,0.779319867481991,0.7726761041654716,0.5181653089876598,0.7396402752362443,0.7316445658327372,0.6894206257090671
SSRM,0.8026673424971792,1,0.8832841511819904,0.8800691902285696,0.6903076971262582,0.8879997560342604,0.8861348637711277,0.5147672580630118,0.8498449429966854,0.8644580076039304,0.7523453599640728
KGC,0.7548895443192906,0.8794144865758774,1,0.9131567049702939,0.6786444549978702,0.896457247327706,0.9006684423812693,0.5690140895705242,0.8672638228335305,0.8875437913416635,0.7475843536482264
NEM,0.7422766432366377,0.8675795440888169,0.9076645623610525,1,0.6852535636398338,0.8925419422119979,0.8892391302817161,0.5571135706910937,0.864560233275341,0.8942435634460854,0.7207837023835424
PVG,0.7063317423701226,0.8761079918847506,0.8585051435222649,0.8697600284380222,1,0.8728218963646791,0.8611320012111935,0.38405468274652754,0.8283576446480476,0.8551764748929579,0.6869352602445938
WPM,0.7764366227493275,0.8772070594132619,0.8956445431384747,0.8919553098685744,0.6825896157295729,1,0.8345246818451656,0.5141218651562396,0.8619438777948265,0.8547367928297749,0.6713694597764871
AGI,0.7770253023984453,0.880603749634861,0.90804643344722,0.8956106930234916,0.6863933237825511,0.8440538027683819,1,0.549694186762779,0.8429889978075922,0.8777240545125464,0.7638176568676616
EQX,0.6496994286984707,0.7033714291622375,0.7435671816725701,0.7126682846180541,0.4576632032658847,0.6970938709897845,0.7340071708311301,1,0.670945868145187,0.6936775414413848,0.6144788766736532
KL,0.6951160692130476,0.8815506368904458,0.9134971635668647,0.91135605501655,0.7025295486875389,0.896838890510637,0.890013834008418,0.5488493430097425,1,0.8875262682165121,0.7354378712617266
AEM,0.7587978378575887,0.8985949785880647,0.9275103913641723,0.9332595277391248,0.70166281347729,0.8990203861476139,0.9069697778357007,0.5603347514512177,0.8823682675855118,1,0.7667245507168965
AU,0.6589561713628931,0.7598150090354084,0.7907129767749308,0.7727416769267988,0.569260681366704,0.685990455875635,0.8009269650077483,0.5036753235630991,0.7420611411400161,0.7727135957213014,1
