,GLBE,SNAP,APPS,GOOGL,MTCH,PINS,GOOG,TWTR,MGNI,TTD
GLBE,1,0.06444824363468092,0.29550121526362033,1.189218850359049,0.18078057369492603,0.20561989615353837,1.4694554915571427,0.7586887534263012,0.24669174810682126,0.2464120255581668
SNAP,0.30482204952591113,1,0.30290506233992537,2.440478792343579,0.6277671339517297,0.23594938809739843,2.991876737347297,2.1283628920771873,0.3965122104424778,0.42316253555589006
APPS,0.3965906288384226,0.16221729604109641,1,1.187772255383584,0.32578993925774385,0.15283311204646285,1.4712924024623835,0.8006675616207024,0.22610981539448255,0.21760935666795353
GOOGL,0.15043716344169372,0.1156514970340579,0.1304523597542871,1,0.13965084886059803,0.06835142348086459,1.0704745392781843,0.4582971675612454,0.1071857299590497,0.10010251760016241
MTCH,0.1529826761270938,0.0986852986469693,0.12712253252695954,0.6115456631743209,1,0.10783886540490208,0.7349570629359492,0.45863638500258314,0.1337679673929264,0.07657833551497419
PINS,0.3275968878679557,0.2044446472694468,0.179862188612611,0.9195908050071842,0.24237070219902657,1,1.1348673910898444,0.8051064548013308,0.15347911694591607,0.1435691093183869
GOOG,0.12945393640991515,0.10391457090176232,0.11707421075927549,0.787744087015318,0.11211150759042816,0.06247834549411425,1,0.3891761064425318,0.08363503522788757,0.08578058056126629
TWTR,0.20934234237839947,0.20663492083678658,0.17975778016662208,0.9497108899284741,0.2675876328239082,0.15283469681368234,1.1468388516660446,1,0.18115588324044457,0.16248233959711578
MGNI,0.4376272785946032,0.2875748504123645,0.37015493216110923,1.5832728219035095,0.44643237682859793,0.16996632569403697,1.9055577120701441,1.1562253461277197,1,0.31583900384497965
TTD,0.44265737815993406,0.32646890904348286,0.27671519413509427,1.4487938838587888,0.36211448513110217,0.18012597602281782,1.7814898763510376,1.1745675212634097,0.3372473782758973,1
