,QQQ,DIA,XLF,FB,TLT
TWTR,0.799308078294083,0.6614752365768111,0.5127073886547809,0.743305142084377,-0.11197771678300474
GOOGL,0.8709313639346472,0.7129202527937547,0.5592558939304152,0.6548906221727346,0.018701470821589607
APPS,0.7709314483557378,0.6026840973590979,0.47866392566434096,0.3163219506009392,-0.25538853518760335
SNAP,0.7719912451933629,0.6401412211138534,0.480665310755233,0.6641217431704165,-0.08394793489876795
GOOG,0.8593179645622158,0.6584350138600925,0.4619166552706789,0.6502055874254856,0.14338767808054995
TTD,0.7591684834360891,0.5969799355791707,0.4514953682440316,0.6251242398026188,-0.0889839454074078
MTCH,0.6802016292472882,0.6189265637855573,0.508545098169149,0.5418146313156831,-0.13312220377356454
MGNI,0.7235751300446136,0.7161239670394328,0.6364956361457996,0.498309849716366,-0.20159871068415117
PINS,0.5244599377648066,0.4928598436520357,0.28383249644130054,0.6592552242294161,-0.04789936386347868
GLBE,0.6366280181510988,0.6018448223828167,0.5169996784188874,0.13342577758648738,-0.3707399783060054
